feature,RandomForest,Lasso,XGBoost,ExtraTrees,rank
circumplex.valence_avg,1.0,1.0,1.0,1.0,1.0
mood_avg_hist,2.0,2.0,2.0,2.0,2.0
mood_std,3.0,3.0,7.0,3.0,4.0
appCat.unknown,8.0,5.0,4.0,6.0,5.75
activity,4.0,6.0,9.0,8.0,6.75
appCat.utilities,7.0,12.0,5.0,14.0,9.5
circumplex.valence_std,21.0,10.0,8.0,4.0,10.75
appCat.social,5.0,9.0,17.0,13.0,11.0
screen,9.0,18.0,10.0,11.0,12.0
appCat.weather,19.0,19.0,3.0,9.0,12.5
circumplex.arousal_std,18.0,4.0,22.0,7.0,12.75
appCat.entertainment,13.0,15.0,11.0,12.0,12.75
circumplex.arousal_avg,14.0,7.0,21.0,10.0,13.0
appCat.game,22.0,20.0,6.0,5.0,13.25
call,15.0,8.0,14.0,19.0,14.0
appCat.builtin,6.0,17.0,19.0,15.0,14.25
appCat.office,20.0,11.0,12.0,16.0,14.75
appCat.travel,16.0,13.0,13.0,18.0,15.0
sms,11.0,14.0,16.0,21.0,15.5
appCat.other,10.0,20.0,15.0,17.0,15.5
appCat.communication,17.0,16.0,18.0,20.0,17.75
appCat.finance,12.0,20.0,20.0,22.0,18.5
